REF. OBJET;PERIODE;PRIME ;PUISS.OBJET;MARQUE.OBJET;USAGE;VALEUR ASSURE;AGE.CONDUCTEUR;AGE.OBJET;SINISTRALITE;NATURE.SIN;DATE.SIN;MONTANT REMBOURSE;SIN.2021
3088TU196;180;299 016;5;SEAT;1;10 000 000;26;10;0;;;0;0
4393TU156;364;482 044;5;PEUGEOT;1;20 000 000;62;10;0;;;0;0
9539TU153;180;327 632;5;RENAULT;1;20 000 000;44;5;0;;;0;0
5023TU132;364;563 224;7;CITROEN;3;10 000 000;46;14;0;;;0;0
4656TU121;180;264 816;4;PEUGEOT;1;16 000 000;33;14;0;;;0;0
3818TU34;180;283 819;8;PEUGEOT;3;8 000 000;60;41;0;;;0;0
RS178708;364;510 078;6;KIA;1;18 000 000;34;7;0;;;0;0
RS148328;180;388 418;5;PEUGEOT;3;20 000 000;48;11;0;;;0;0
2625TU199;364;629 686;7;FIAT;1;12 000 000;29;22;0;;;0;0
RS184941;180;348 716;7;TOYOTA;1;10 000 000;33;5;0;;;0;0
REM92426;364;1 000 686;0;SICAME;2;10 000 000;35;9;0;;;0;0
7164TU108;180;293 432;9;MERCEDES;1;20 000 000;65;23;1;;;0;0
508TU208;364;414 084;6;RENAULT;1;20 000 000;53;10;0;;;0;0
1059TU196;364;745 896;5;PEUGEOT;3;10 000 000;66;9;1;;;0;0
5284TU201;180;482 948;5;KIA;1;30 000 000;42;4;0;;;0;0
4591TU220;364;1 711 458;7;HONDA;1;61 900 000;12;1;0;;;0;0
3709TU92;180;334 296;5;FIAT;1;10 000 000;60;25;1;;;0;0
954TU130;180;385 209;7;PEUGEOT;3;8 000 000;37;15;0;;;0;0
3875TU220;364;1 087 878;7;M.G;1;68 000 000;63;1;0;;;0;0
9114TU184;364;400 113;6;DACIA;3;18 000 000;32;7;0;;;0;0
4545TU144;364;368 298;5;RENAULT;1;12 000 000;54;12;1;MAE124;17/06/2021;1 385 537;1
4025TU85;364;623 446;5;VOLKSWAGEN;1;8 000 000;55;24;0;;;0;0
2239TU168;180;371 748;5;VOLKSWAGEN;1;30 000 000;37;12;0;;;0;0
5565TU46;180;319 499;8;PEUGEOT;3;8 000 000;60;37;0;;;0;0
8348TU138;364;351 868;5;RENAULT;1;15 000 000;42;13;0;;;0;0
2581TU105;180;274 593;4;PEUGEOT;1;8 000 000;37;20;0;;;0;0
6202TU183;180;434 564;7;PEUGEOT;1;40 000 000;33;7;0;;;0;0
3001TU131;180;346 088;10;ISUZU;3;20 000 000;29;14;0;;;0;0
4928TU178;180;337 151;5;CITROEN ;1;32 000 000;52;7;0;;;0;0
4541TU181;180;320 458;5;FORD;1;36 000 000;37;7;0;BG;27/07/2021;450 000;1
RS199186;180;561 228;11;VOLKSWAGEN;3;50 000 000;49;7;0;;;0;0
5415TU126;180;219 216;4;CITROEN;1;12 000 000;31;18;0;;;0;0
3966TU220;364;553 292;4;PEUGEOT;1;10 000 000;50;1;0;BG;02/06/2021;305 235;1
1409TU65;180;291 393;4;CITROEN;1;8 000 000;29;29;0;;;0;0
6980TU138;180;211 236;5;RENAULT;1;10 000 000;42;13;0;;;0;0
9047TU192;179;410 965;6;FIAT;1;35 000 000;8;5;0; DC;06/04/2021;5 273 599;1
RS209058;89;200 036;5;CITROEN;3;10 000 000;22;7;0;;;0;0
RS209191;89;200 036;5;PEUGEOT;3;8 000 000;36;6;0;;;0;0
1459TU215;180;378 412;6;CITROEN ;1;20 000 000;44;7;0;;;0;0
4366TU172;180;472 828;4;PEUGEOT;1;40 000 000;26;9;0;;;0;0
9006TU125;364;1 638 594;14;TOYOTA;4;50 000 000;22;15;0;;;0;0
8983TU177;364;663 508;5;OPEL;1;15 000 000;53;19;0;;;0;0
6114TU173;364;1 135 474;11;SSANGYONG;1;42 000 000;23;8;1;DC;25/08/2021;9 848 193;1
56TU62;180;437 066;9;ISUZU;3;10 000 000;58;31;0;;;0;0
4344TU73;364;777 278;15;UNIC ;3;10 000 000;6;40;1;;;0;0
7372TU164;364;853 324;4;LANCIA;1;20 000 000;63;9;0;;;0;0
9213TU162;364;649 294;4;FIAT;1;23 000 000;28;13;0;;;0;0
9188TU219;180;482 444;7;BMW;1;40 000 000;36;13;0;;;0;0
4984TU181;364;587 964;5;KIA;1;20 000 000;61;7;0;;;0;0
9540TU68;364;410 926;6;RENAULT;1;8 000 000;37;28;0;MAE151;21/10/2021;1 131 055;1
